sgRNA	Gene	Func	Clinic	Exon	library	day0_r1	day0_r2	day5_r1	day5_r2	day10_r1	day10_r2	lib_ratio	day0_rep1_ratio	day0_rep2_ratio	day5_rep1_ratio	day5_rep2_ratio	day10_rep1_ratio	day10_rep2_ratio	day5_day0_rep1	day5_day0_rep2	day10_day0_rep1	day10_day0_rep2	day10_day5_rep1	day10_day5_rep2	day5_day0	day10_day0	day10_day5	day5_lib	day10_lib
Gene_A_T_NGG_nontargeting_11	nontargeting	Negative;Negative	Negative	NA	13153	13885	23136	14210	21172	19911	16649	13153.0	16287.7436316	20479.8792933	17870.1043812	17523.9267053	17821.5397976	17210.2472458	1.09715039636	0.855665526849	1.09416873206	0.840349056713	0.997282355909	0.982099933146	0.962641266169	0.952789009909	0.989765391733	1.3454736975	1.33170330128
Gene_A_T_NGG_nontargeting_36	nontargeting	Negative;Negative	Negative	NA	7065	7886	10618	7597	12265	11484	8179	7065.0	9250.64071149	9399.00407749	9553.77783138	10151.6607331	10278.8691194	8454.71873525	1.03276931073	1.08007834122	1.1111521288	0.899533468179	1.07589576613	0.832840946672	1.05661200454	1.00450105439	0.950681092092	1.39458163938	1.32580239594
Gene_A_T_NGG_nontargeting_17	nontargeting	Negative;Negative	Negative	NA	5960	8157	10573	7544	10767	12012	7987	5960.0	9568.53617596	9359.17028737	9487.12649203	8911.77587552	10751.460803	8256.2463062	0.991491939578	0.952197214271	1.1236264989	0.882155795086	1.13326841505	0.92644231874	0.972061903178	1.00422664236	1.03308918812	1.54353207781	1.59460630111
Gene_A_T_NGG_nontargeting_29	nontargeting	Negative;Negative	Negative	NA	4458	6387	8736	6202	9789	9885	7894	4458.0	7492.24476595	7733.06645516	7799.46427672	8102.29163606	8847.66816832	8160.11122338	1.04100500189	1.04774628319	1.1809101871	1.05522321199	1.13439434484	1.0071362017	1.04442895661	1.11707269196	1.06955354396	1.78350784127	1.90755713231
Gene_A_T_NGG_nontargeting_38	nontargeting	Negative;Negative	Negative	NA	2864	3818	5696	3700	5353	5208	5090	2864.0	4478.68960645	5042.07263377	4653.01803029	4430.64328612	4661.472516	5261.58679086	1.03892397981	0.878734522078	1.04081169396	1.04353649244	1.00181698967	1.18754466362	0.954089713325	1.04225471202	1.09240745127	1.58583472703	1.73237767229
Gene_A_T_NGG_nontargeting_34	nontargeting	Negative;Negative	Negative	NA	8106	11918	15633	11538	17360	16521	13065	8106.0	13980.3621607	13838.2586875	14509.8708199	14368.7590971	14787.2863742	13505.4285702	1.03787517469	1.03833577776	1.05771840559	0.975948555037	1.01911909195	0.939916138821	1.0381042998	1.01704232927	0.979711122922	1.781311986	1.74517116608
Gene_A_T_NGG_nontargeting_37	nontargeting	Negative;Negative	Negative	NA	6782	9798	13185	8968	13947	12856	11032	6782.0	11493.5046527	11671.300505	11277.9096475	11543.841194	11506.8914489	11403.8949856	0.98124201349	0.989079253773	1.00116472708	0.977088626992	1.02030356764	0.987876980803	0.985190710051	0.9890342819	1.00390134804	1.6825236539	1.68908776426
Gene_A_T_NGG_nontargeting_7	nontargeting	Negative;Negative	Negative	NA	4650	7181	9323	6664	9670	8201	8248	4650.0	8423.64328547	8252.67611739	8380.46274428	8003.79610999	7340.38711668	8526.04476444	0.994873887732	0.969842508799	0.87140289159	1.03312484861	0.875892816502	1.06525011973	0.982486510271	0.951434875876	0.96839484912	1.7617482639	1.70606794421
Gene_A_T_NGG_nontargeting_32	nontargeting	Negative;Negative	Negative	NA	3936	5337	7411	5556	7836	6516	6269	3936.0	6260.54647188	6560.18263498	6987.07248008	6485.80623763	5832.21100504	6480.33155047	1.11604833723	0.988662450195	0.931581776644	0.987827917459	0.834714541987	0.999155897207	1.05086681151	0.960362117698	0.913876151748	1.71149373955	1.56409331244
Gene_A_T_NGG_nontargeting_6	nontargeting	Negative;Negative	Negative	NA	2435	3607	5031	3476	4495	4106	3600	2435.0	4231.17690164	4453.41773534	4371.32180359	3720.48226623	3675.11638838	3721.35804461	1.03312196706	0.835421801261	0.868580178473	0.835618454358	0.840733433389	1.00023539378	0.931742287125	0.851677567252	0.914069887157	1.66156141064	1.51878325113
